scenario,metric,comparison_pair,condition_a,condition_b,test_type,statistic,p_value,p_value_adj_fdr,effect_size_cohen_d,ci_lower_95,ci_upper_95,n_pairs,caution_flag
grid_3_light,avg_waiting_time,signal_only_vs_baseline,signal_only,baseline,paired_ttest,3.6455648665362363,0.005354330409402867,0.019989500195104037,1.152828833614226,10.129244851208771,31.024395800284935,10,none
grid_3_light,avg_waiting_time,signal_only_vs_baseline,signal_only,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,1.152828833614226,10.129244851208771,31.024395800284935,10,none
grid_3_light,avg_waiting_time,vsl_only_vs_baseline,vsl_only,baseline,paired_ttest,2.424582381736253,0.03832155210746685,0.08325548344318,0.7667202701002394,0.48936213533903866,3.1282652564590228,10,none
grid_3_light,avg_waiting_time,vsl_only_vs_baseline,vsl_only,baseline,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.7667202701002394,0.48936213533903866,3.1282652564590228,10,none
grid_3_light,avg_waiting_time,routing_only_vs_baseline,routing_only,baseline,paired_ttest,0.9129971065811441,0.38504876367248164,0.5637315232852018,0.28871503539399207,-0.022766507229644288,0.07984864456800433,10,none
grid_3_light,avg_waiting_time,routing_only_vs_baseline,routing_only,baseline,wilcoxon_signed_rank,5.0,0.5001842570707944,0.7091219847079616,0.28871503539399207,-0.022766507229644288,0.07984864456800433,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_baseline,signal_and_routing,baseline,paired_ttest,10.209253173137055,3.0108729238656655e-06,6.031859096382807e-05,3.228449323641445,33.62583731547659,48.74504216147691,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_baseline,signal_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,3.228449323641445,33.62583731547659,48.74504216147691,10,none
grid_3_light,avg_waiting_time,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,paired_ttest,8.08393852954312,4.050436586353108e-05,0.0005040543307461645,2.694646176514374,24.192050537730683,38.80652616687133,9,use_with_caution_small_n
grid_3_light,avg_waiting_time,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,wilcoxon_signed_rank,0.0,0.00390625,0.015217391304347827,2.694646176514374,24.192050537730683,38.80652616687133,9,use_with_caution_small_n
grid_3_light,avg_waiting_time,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,paired_ttest,3.0601343030375707,0.013568674681418329,0.04570500945319858,0.9676994343610644,1.3899132277441866,5.241024125895538,10,none
grid_3_light,avg_waiting_time,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,0.9676994343610644,1.3899132277441866,5.241024125895538,10,none
grid_3_light,avg_waiting_time,combined_vs_baseline,combined,baseline,paired_ttest,3.1367778491203193,0.011990079536362146,0.041415121901212354,0.9919362517184205,6.29047988752106,23.317842799815324,10,none
grid_3_light,avg_waiting_time,combined_vs_baseline,combined,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,0.9919362517184205,6.29047988752106,23.317842799815324,10,none
